INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
INFO:root:{'open_tickets': 82, 'closed_tickets': 146, 'critical_tickets': 20, 'sla_met': 0, 'sla_breached': 56}
